,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
114,HD 10180 d,12.0764,903.9,2010,128.444
115,HD 10180 e,25.424,597.3,2010,128.444
116,HD 10180 f,23.5172,459.1,2010,128.444
117,HD 10180 g,21.2926,251.6,2010,128.444
118,HD 10180 h,65.4668,176,2010,128.444
119,HD 101930 b,95.0222,517.1,2005,99.3974
120,HD 102117 b,54.026,799.5,2004,136.92
121,HD 102195 b,143.9634,1128,2005,94.4748
122,HD 102272 b,1305.8402,1183.8,2008,1173.6
123,HD 102329 b,1423.1084,516.4,2011,515.08
124,HD 102365 b,16.2078,446.9,2011,30.1224
125,HD 102956 b,302.2278,1624.9,2010,410.76
126,HD 103197 b,31.1444,516.3,2009,160.718
127,HD 103774 b,116.9504,1481.3,2013,179.3
128,HD 104067 b,59.1108,431.7,2009,67.808
130,HD 104985 b,1562.6226,787.9,2003,316.546
131,HD 106252 b,2211.5702,257.8,2002,122.0544
132,HD 106270 b,3523.4486,272.3,2011,276.774
133,HD 10647 b,293.965,245.9,2003,56.398
134,HD 10697 b,1981.483,245.3,2000,106.1456
135,HD 107148 b,67.3736,563.2,2006,167.238
136,HD 108147 b,81.9924,1548.4,2002,125.7382
137,HD 108341 b,1104.9906,400,2014,161.044
138,HD 108863 b,879.0348,530.7,2011,453.14
139,HD 108874 b,409.962,298.2,2003,223.31
140,HD 108874 c,326.6984,201.5,2005,223.31
141,HD 109246 b,244.0704,526.7,2010,213.856
142,HD 111232 b,2174.3876,197.1,2004,94.54
143,HD 113337 b,899.374,519.8,2013,120.294
144,HD 114386 b,433.4792,160.9,2003,91.4104
145,HD 114613 b,160.8068,191.6,2014,67.3842
146,HD 114762 b,3697.603,541.7,1992,128.6396
147,HD 114783 b,351.169,227.4,2001,66.504
148,HD 11506 b,1504.783,243.1,2007,168.542
149,HD 11506 c,114.408,438.8,2009,168.542
150,HD 116029 b,606.3624,405.7,2011,400.98
151,HD 117207 b,578.0782,150.5,2004,107.58
152,HD 11755 b,2081.9078,1158.8,2015,754.69
153,HD 117618 b,56.2506,974.7,2004,123.88
154,HD 118203 b,678.8208,1796.1,2005,288.836
155,HD 11977 b,2351.72,626.7,2005,216.79
156,HD 120084 b,1422.7906,647.9,2013,319.48
