Planet,Earth_Masses,Temperature_Kelvin,Year
HD 114613 b,160.8068,191.6,2014
HD 114762 b,3697.603,541.7,1992
HD 114783 b,351.169,227.4,2001
HD 11506 b,1504.783,243.1,2007
HD 11506 c,114.408,438.8,2009
HD 116029 b,606.3624,405.7,2011
HD 117207 b,578.0782,150.5,2004
HD 11755 b,2081.9078,1158.8,2015
HD 117618 b,56.2506,974.7,2004
HD 118203 b,678.8208,1796.1,2005
HD 11977 b,2351.72,626.7,2005
HD 120084 b,1422.7906,647.9,2013
HD 121504 b,388.3516,476.6,2003
HD 125595 b,13.3476,845.5,2009
HD 125612 b,975.0104,336.9,2007
HD 125612 c,18.4324,1492.1,2009
HD 12648 b,921.3022,978.7,2015
HD 12661 b,743.9698,395.9,2000
HD 12661 c,619.3922,170.1,2002
HD 126614 A b,122.6708,240,2010
HD 128311 b,463.0346,216.7,2002
HD 128311 c,1032.2144,157.7,2005
HD 130322 b,331.4654,853.9,1999
HD 131496 b,712.1898,381.7,2011
HD 13189 b,2263.6894,1243.6,2005
HD 132563 B b,474.1576,222.6,2011
HD 134987 b,496.7214,380.2,1999
HD 134987 c,255.829,132.2,2009
HD 136418 b,633.3754,478.6,2010
HD 137388 b,72.4584,331.2,2011
HD 13908 b,274.897,1017.6,2013
HD 13908 c,1630.314,291.3,2013
HD 13931 b,597.7818,138.4,2010
HD 139357 b,3201.835,434.5,2009
HD 141937 b,3011.155,309,2002
HD 142245 b,600.642,299.9,2011
HD 142415 b,528.1836,413.4,2003
HD 145377 b,1837.5196,522.1,2008
HD 145457 b,944.5016,861.3,2010
HD 1461 b,7.6272,1261.7,2009
HD 147018 b,675.9606,755.5,2009
HD 147018 c,2095.5732,208.5,2009
HD 148156 b,269.4944,295.6,2009
HD 148427 b,363.5632,507.2,2009
HD 149026 b,114.408,1672.6,2005
HD 149143 b,422.0384,1624.7,2005
HD 1502 b,923.8446,475.8,2011
HD 152581 b,481.1492,397.5,2011
HD 153950 b,871.4076,342,2008
HD 154345 b,304.1346,131.4,2006
HD 154672 b,1590.9068,653.8,2008
HD 154857 b,714.4144,441.6,2004
HD 154857 c,819.6062,164.3,2014
HD 155233 b,633.6932,331.9,2015
HD 155358 b,260.2782,471.3,2007
HD 155358 c,256.4646,370.8,2007
HD 156279 b,3109.673,677.2,2011
HD 156411 b,232.9474,320.9,2009
HD 156668 b,4.1314,892.8,2010
HD 156846 b,3498.3424,900.9,2008
HD 158038 b,570.1332,527.5,2011
HD 159243 b,359.114,950,2013
HD 159243 c,603.82,362.1,2013
HD 159868 b,699.16,241.7,2007
HD 159868 c,231.994,390.1,2012
HD 1605 b,307.9482,382,2015
HD 1605 c,1113.2534,250.7,2015
HD 16175 b,1391.6462,348.4,2007
HD 162020 b,4835.0092,724.4,2002
HD 163607 b,244.3882,1117.6,2011
HD 163607 c,728.3976,238.6,2011
HD 16417 b,21.2926,1028.3,2009
HD 164509 b,152.544,364.1,2011
HD 164922 b,113.7724,174.3,2006
HD 1666 b,2056.4838,718.5,2015
HD 167042 b,520.2386,458.5,2007
HD 168443 b,2446.1066,896.8,1998
HD 168443 c,5525.2708,222.5,2001
HD 168746 b,77.861,1045,2002
HD 1690 b,2073.9628,1382,2010
HD 169830 b,918.1242,537.7,2000
HD 169830 c,1291.5392,259.3,2003
HD 170469 b,212.6082,219.5,2007
HD 17092 b,1576.9236,737.4,2007
HD 171028 b,631.7864,544.4,2007
HD 171238 b,829.1402,218.7,2009
HD 17156 b,1048.74,1579.1,2007
HD 173416 b,863.7804,893.7,2009
HD 175541 b,167.7984,538.5,2007
HD 178911 B b,2317.0798,467.5,2001
HD 179079 b,26.6952,981.1,2009
HD 179949 b,286.6556,1589.1,2000
HD 180314 b,7190.5428,619.6,2010
HD 180902 b,497.0392,425.3,2010
HD 181342 b,1000.7522,432,2010
HD 181433 b,7.6272,1092.2,2008
HD 181433 c,203.392,213.6,2008
HD 181433 d,170.023,191.6,2008
HD 181720 b,118.2216,266.1,2009
HD 183263 b,1135.8172,309,2004
HD 183263 c,1104.6728,167.3,2008
HD 185269 b,303.1812,1998.4,2006
HD 187085 b,255.5112,323.6,2006
HD 187123 b,162.078,1468.4,1998
HD 187123 c,617.1676,157.7,2007
HD 18742 b,910.1792,434,2011
HD 190647 b,604.7734,248.3,2007
HD 192263 b,203.0742,542.8,1999
HD 192699 b,728.3976,476.4,2007
HD 197037 b,256.4646,244.3,2012
HD 200964 b,619.3922,380.3,2010
HD 200964 c,300.6388,373.1,2010
HD 202206 b,5346.6672,409.1,2002
HD 202206 c,740.7918,205.1,2004
HD 2039 b,1882.965,387.5,2002
HD 204313 b,1112.6178,191.8,2009
HD 204313 d,510.3868,164.6,2012
HD 204941 b,84.8526,177.2,2011
HD 205739 b,472.5686,445.6,2008
HD 206610 b,626.3838,476.7,2010
HD 20782 b,603.82,1457.4,2006
HD 207832 b,179.2392,371.2,2012
HD 207832 c,231.994,210.5,2012
HD 20794 b,2.5424,830.1,2011
HD 20794 c,2.2246,639.2,2011
HD 20794 d,4.767,487.7,2011
HD 208487 b,162.7136,510.7,2004
HD 208527 b,3182.4492,896.9,2012
